filename,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,duration_s,duration,duration_m,rowNo,type,stim1,textColor,key,condition1,condition2,feedback,stimFormat,ITI,keyboard,random,head,responseType,responseOptions,responseOther,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,37,test,CAR,red,left,filler,,,word,800,left up right,1,,,,,801,48,16.68,70470,left,631,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,42,test,HOUSE,green,right,filler,,,word,800,left up right,1,,,,,800,48,16.67,71840,right,574,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,16,test,BLUE,blue,up,critical,congruent,,word,800,left up right,1,,,,,801,48,16.7,73260,up,627,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,27,test,BLUE,green,right,critical,incongruent,,word,800,left up right,1,,,,,800,48,16.66,75310,right,1261,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,14,test,BLUE,blue,up,critical,congruent,,word,800,left up right,1,,,,,800,48,16.67,77093,up,994,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,31,test,GREEN,blue,up,critical,incongruent,,word,800,left up right,1,,,,,800,48,16.66,78655,up,772,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,15,test,BLUE,blue,up,critical,congruent,,word,800,left up right,1,,,,,800,48,16.66,79926,up,478,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,12,test,RED,red,left,critical,congruent,,word,800,left up right,1,,,,,800,48,16.66,81154,left,439,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,28,test,BLUE,red,left,critical,incongruent,,word,800,left up right,1,,,,,800,48,16.67,82712,left,764,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,35,test,CAR,green,right,filler,,,word,800,left up right,1,,,,,799,48,16.64,84181,right,683,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,41,test,SHOE,blue,up,filler,,,word,800,left up right,1,,,,,800,48,16.66,85667,up,702,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,21,test,GREEN,green,right,critical,congruent,,word,800,left up right,1,,,,,799,48,16.65,87090,right,642,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,11,test,RED,red,left,critical,congruent,,word,800,left up right,1,,,,,801,48,16.69,88436,left,553,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,19,test,GREEN,green,right,critical,congruent,,word,800,left up right,1,,,,,800,48,16.67,89858,right,626,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,13,test,RED,red,left,critical,congruent,,word,800,left up right,1,,,,,800,48,16.66,91380,left,732,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,29,test,BLUE,green,right,critical,incongruent,,word,800,left up right,1,,,,,800,48,16.67,93197,right,1014,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,38,test,SHOE,blue,up,filler,,,word,800,left up right,1,,,,,800,48,16.66,94413,up,431,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,36,test,CAR,blue,up,filler,,,word,800,left up right,1,,,,,800,48,16.67,95834,up,619,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,17,test,BLUE,blue,up,critical,congruent,,word,800,left up right,1,,,,,800,48,16.66,97109,up,478,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,22,test,RED,green,right,critical,incongruent,,word,800,left up right,1,,,,,800,48,16.68,98653,right,754,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,18,test,GREEN,green,right,critical,congruent,,word,800,left up right,1,,,,,800,48,16.67,100053,right,603,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,32,test,GREEN,red,left,critical,incongruent,,word,800,left up right,1,,,,,800,48,16.66,101366,left,518,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,43,test,HOUSE,blue,up,filler,,,word,800,left up right,1,,,,,800,48,16.67,102673,up,506,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,26,test,BLUE,red,left,critical,incongruent,,word,800,left up right,1,,,,,799,48,16.64,104291,left,827,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,24,test,RED,green,right,critical,incongruent,,word,800,left up right,1,,,,,800,48,16.66,105808,right,726,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,45,test,HOUSE,green,right,filler,,,word,800,left up right,1,,,,,800,48,16.67,107110,right,512,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,70,test,CAR,red,left,filler,,,word,800,left up right,2,,,,,800,48,16.66,108377,left,479,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,81,test,HOUSE,green,right,filler,,,word,800,left up right,2,,,,,800,48,16.67,109852,right,687,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,50,test,BLUE,blue,up,critical,congruent,,word,800,left up right,2,,,,,799,48,16.65,111099,up,450,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,80,test,HOUSE,red,left,filler,,,word,800,left up right,2,,,,,800,48,16.67,112447,left,550,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,49,test,RED,red,left,critical,congruent,,word,800,left up right,2,,,,,800,48,16.67,113775,left,525,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,79,test,HOUSE,blue,up,filler,,,word,800,left up right,2,,,,,800,48,16.66,115884,up,1319,1,
661427_260413_160726.csv,Microsoft Edge,146.0.0.0,1280,800,Windows,en-US,2026-04-13_16:04:28,2026-04-13_12:04:28,2026-04-13_14:46:24,https://www.testable.org/experiment/20534/661427/start,178.396,178396,2.9732,62,test,BLUE,red,left,critical,incongruent,,word,800,left up right,2,,,,,800,48,16.66,117368,left,686,1,
